,CarData Element,Description,Category,Name,,,Technical descriptor,Data type,Typical value range,Unit,Streamable,,,,,
64,Front driver seat direct heat,DirectStart settings for front driver seat heating of the seat for climate preconditioning.,Preconditioning Direct,Seat heating (front driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​driverSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​driverSide.​heating"": ""Preconditioning Direct Seat heating (front driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​driverSide.​heating"": ""Preconditioning Direct Seat heating (front driver)"","
65,Front passenger direct cool,DirectStart settings for front passenger seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Direct,Seat cooling (front passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​passengerSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​passengerSide.​cooling"": ""Preconditioning Direct Seat cooling (front passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​passengerSide.​cooling"": ""Preconditioning Direct Seat cooling (front passenger)"","
66,Front passenger direct heat,DirectStart settings for front passenger seat heating of the seat for climate preconditioning.,Preconditioning Direct,Seat heating (front passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​passengerSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​passengerSide.​heating"": ""Preconditioning Direct Seat heating (front passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​passengerSide.​heating"": ""Preconditioning Direct Seat heating (front passenger)"","
67,Rear driver direct cool,DirectStart settings for rear driver seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Direct,Seat cooling (rear driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​driverSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​driverSide.​cooling"": ""Preconditioning Direct Seat cooling (rear driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​driverSide.​cooling"": ""Preconditioning Direct Seat cooling (rear driver)"","
68,Rear driver direct heat,DirectStart settings for rear driver seat heating of the seat for climate preconditioning.,Preconditioning Direct,Seat heating (rear driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​driverSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​driverSide.​heating"": ""Preconditioning Direct Seat heating (rear driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​driverSide.​heating"": ""Preconditioning Direct Seat heating (rear driver)"","
69,Rear passenger direct cool,DirectStart settings for rear passenger seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Direct,Seat cooling (rear passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​passengerSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​passengerSide.​cooling"": ""Preconditioning Direct Seat cooling (rear passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​passengerSide.​cooling"": ""Preconditioning Direct Seat cooling (rear passenger)"","
70,Rear passenger direct heat,DirectStart settings for rear passenger seat heating of the seat for climate preconditioning.,Preconditioning Direct,Seat heating (rear passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​passengerSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​passengerSide.​heating"": ""Preconditioning Direct Seat heating (rear passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row2.​passengerSide.​heating"": ""Preconditioning Direct Seat heating (rear passenger)"","
71,Third row driver direct cool,DirectStart settings for third row driver seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Direct,Seat cooling (third row driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​driverSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​driverSide.​cooling"": ""Preconditioning Direct Seat cooling (third row driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​driverSide.​cooling"": ""Preconditioning Direct Seat cooling (third row driver)"","
72,Third row driver direct heat,DirectStart settings for third row driver seat heating of the seat for climate preconditioning.,Preconditioning Direct,Seat heating (third row driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​driverSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​driverSide.​heating"": ""Preconditioning Direct Seat heating (third row driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​driverSide.​heating"": ""Preconditioning Direct Seat heating (third row driver)"","
73,Third row passenger direct cool,DirectStart settings for third row passenger seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Direct,Seat cooling (third row passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​passengerSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​passengerSide.​cooling"": ""Preconditioning Direct Seat cooling (third row passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​passengerSide.​cooling"": ""Preconditioning Direct Seat cooling (third row passenger)"","
74,Third row passenger direct heat,DirectStart settings for third row passenger seat heating of the seat for climate preconditioning.,Preconditioning Direct,Seat heating (third row passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​passengerSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​passengerSide.​heating"": ""Preconditioning Direct Seat heating (third row passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row3.​passengerSide.​heating"": ""Preconditioning Direct Seat heating (third row passenger)"","
75,Steering wheel direct heat,DirectStart settings for steering wheel heating for climate preconditioning.,Preconditioning Direct,Steering wheel heating,,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​steeringWheel.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​steeringWheel.​heating"": ""Preconditioning Direct Steering wheel heating"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​steeringWheel.​heating"": ""Preconditioning Direct Steering wheel heating"","
76,Direct start target temp,DirectStart settings for target temperature for climate preconditioning.,Preconditioning Direct,Target temperature,,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​targetTemperature,float,0 °C to 50 °C,celsius,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​targetTemperature"": ""Preconditioning Direct Target temperature"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​targetTemperature"": ""Preconditioning Direct Target temperature"","
78,Remote climate control disclaimer,"True if remote engine start option is set, otherwise false.",Preconditioning,Remote engine start disclaimer,,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​isRemoteEngineStartDisclaimer,boolean,"true, false",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​isRemoteEngineStartDisclaimer"": ""Preconditioning Remote engine start disclaimer"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​isRemoteEngineStartDisclaimer"": ""Preconditioning Remote engine start disclaimer"","
80,Preconditioning comfort state,Status of the comfort state of the climate preconditioning.,Preconditioning ,comfort state,,,vehicle.​cabin.​hvac.​preconditioning.​status.​comfortState,string,"NOT_ACTIVE, COMFORT_HEATING, COMFORT_COOLING, COMFORT_VENTILATION, DEFROST, COMFORT_UNDEFINED",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​status.​comfortState"": ""Preconditioning  comfort state"",",,"""vehicle.​cabin.​hvac.​preconditioning.​status.​comfortState"": ""Preconditioning  comfort state"","
81,Exterior mirror heating active,Current status of the exterior mirror heating.,Preconditioning ,exterior mirror heating active,,,vehicle.​cabin.​hvac.​preconditioning.​status.​isExteriorMirrorHeatingActive,boolean,"true, false",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​status.​isExteriorMirrorHeatingActive"": ""Preconditioning  exterior mirror heating active"",",,"""vehicle.​cabin.​hvac.​preconditioning.​status.​isExteriorMirrorHeatingActive"": ""Preconditioning  exterior mirror heating active"","
82,Preconditioning progress,Progress of the currently active climate preconditioning in percent.,Preconditioning ,progress,,,vehicle.​cabin.​hvac.​preconditioning.​status.​progress,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​hvac.​preconditioning.​status.​progress"": ""Preconditioning  progress"",",,"""vehicle.​cabin.​hvac.​preconditioning.​status.​progress"": ""Preconditioning  progress"","
83,Rear defrost active,Current status of the rear window heating.,Preconditioning ,rear defrost active,,,vehicle.​cabin.​hvac.​preconditioning.​status.​rearDefrostActive,boolean,"true, false",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​status.​rearDefrostActive"": ""Preconditioning  rear defrost active"",",,"""vehicle.​cabin.​hvac.​preconditioning.​status.​rearDefrostActive"": ""Preconditioning  rear defrost active"","
84,Preconditioning remaining time,Remaining runtime of climate preconditioning in seconds.,Preconditioning ,remaining running time,,,vehicle.​cabin.​hvac.​preconditioning.​status.​remainingRunningTime,uint32,0 - 10000000,s,,,,"""vehicle.​cabin.​hvac.​preconditioning.​status.​remainingRunningTime"": ""Preconditioning  remaining running time"",",,"""vehicle.​cabin.​hvac.​preconditioning.​status.​remainingRunningTime"": ""Preconditioning  remaining running time"","
86,HVAC air purification status,Actual status of the air purification.,Purification,Air purification state,,,vehicle.​cabin.​hvac.​statusAirPurification,string,"UNFILTERED, PURIFYING_ONGOING, PURIFIED, INVALID",-,,,,"""vehicle.​cabin.​hvac.​statusAirPurification"": ""Purification Air purification state"",",,"""vehicle.​cabin.​hvac.​statusAirPurification"": ""Purification Air purification state"","
88,Display unit of instrument panel in vehicle,This value indicates the units (kilometres or miles) in which distances are indicated on the vehicle instrument panel.,Vehicle Info,Display unit (distance),,,vehicle.​cabin.​infotainment.​displayUnit.​distance,string,"km, miles",-,,,,"""vehicle.​cabin.​infotainment.​displayUnit.​distance"": ""Vehicle Info Display unit (distance)"",",,"""vehicle.​cabin.​infotainment.​displayUnit.​distance"": ""Vehicle Info Display unit (distance)"","
89,Infotainment distance unit,Distance unit used in the current HMI,Vehicle Info,Distance unit,,,vehicle.​cabin.​infotainment.​hmi.​distanceUnit,string,"MILES, KILOMETERS",-,,,,"""vehicle.​cabin.​infotainment.​hmi.​distanceUnit"": ""Vehicle Info Distance unit"",",,"""vehicle.​cabin.​infotainment.​hmi.​distanceUnit"": ""Vehicle Info Distance unit"","
90,Mobile phone connection,This value indicates whether a mobile phone was linked to the vehicle at the time of data collection or whether the connection status is unknown.,Vehicle Info,Mobile phone connection state,,,vehicle.​cabin.​infotainment.​isMobilePhoneConnected,boolean,"ASN_isFalse, ASN_isTrue, ASN_isUnknown",-,,,,"""vehicle.​cabin.​infotainment.​isMobilePhoneConnected"": ""Vehicle Info Mobile phone connection state"",",,"""vehicle.​cabin.​infotainment.​isMobilePhoneConnected"": ""Vehicle Info Mobile phone connection state"","
92,Vehicle altitude,This value indicates the height of the vehicle above sea-level at the time of data collection. The value range reaches from -100m to 6000m or from -328ft to 19685ft.,GPS,altitude,,,vehicle.​cabin.​infotainment.​navigation.​currentLocation.​altitude,double,-100 m to 6000 m or -328 ft to 19685 ft or -NA-,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​altitude"": ""GPS altitude"",",,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​altitude"": ""GPS altitude"","
93,Navigation fix status,"GPS fix status. ""NO_FIX"" means when less than 3 satellites are found. ""2D_GPS_FIX"" is obtained when at least 3 satellites are found. ""3D_GPS_FIX"" is obtained when at least 4 satellites are found.",GPS,navigation fix state,,,vehicle.​cabin.​infotainment.​navigation.​currentLocation.​fixStatus,string,"NO_FIX, GPS_FIX_2D, GPS_FIX_3D",-,,,,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​fixStatus"": ""GPS navigation fix state"",",,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​fixStatus"": ""GPS navigation fix state"","
94,Orientation of the vehicle,"This value indicates the orientation of the vehicle in degrees at the time of data collection. If the value is 180, the vehicle is pointing directly south. If the value is 0, the vehicle is pointing directly north. The values thus range from 0 to 359. The determined orientation of the vehicle may differ from its actual orientation due to inaccuracies in the GPS positioning.",GPS,heading,,,vehicle.​cabin.​infotainment.​navigation.​currentLocation.​heading,double,0° to 359°,degrees,,,,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​heading"": ""GPS heading"",",,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​heading"": ""GPS heading"","
95,Vehicle position – degree of latitude,This value indicates the degree of latitude at which the vehicle was at the time of data collection. The degree of latitude could range from 0 (at the equator) to a maximum of +90 in the northern hemisphere or respectively -90 in the southern hemisphere. The GPS position is transferred independently of whether the GPS positioning has been activated or deactivated in your vehicle via the settings menu.,GPS,latitude,,,vehicle.​cabin.​infotainment.​navigation.​currentLocation.​latitude,double,"-90,0000 to + 90,0000",degrees,,,,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​latitude"": ""GPS latitude"",",,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​latitude"": ""GPS latitude"","
96,Vehicle position – degree of longitude,This value indicates the degree of longitude at which the vehicle was at the time of data collection. The degree of longitude could range from 0 (at the Greenwich meridian / Great Britain) to a maximum of +180 east or respectively -180 west of the meridian. The GPS position is transferred independently of whether the GPS positioning has been activated or deactivated in your vehicle via the settings menu.,GPS,longitude,,,vehicle.​cabin.​infotainment.​navigation.​currentLocation.​longitude,double,"-180,0000 to + 180,0000",degrees,,,,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​longitude"": ""GPS longitude"",",,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​longitude"": ""GPS longitude"","
97,Navigation satellite count,Number of GPS satellites used for positioning and relates to the reliability of the positioning.,GPS,satellite count,,,vehicle.​cabin.​infotainment.​navigation.​currentLocation.​numberOfSatellites,uint8,-,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​numberOfSatellites"": ""GPS satellite count"",",,"""vehicle.​cabin.​infotainment.​navigation.​currentLocation.​numberOfSatellites"": ""GPS satellite count"","
98,Time to the navigation destination,This value indicates the arrival time at the navigation destination and is given in hours and minutes.,GPS,arrival time,,,vehicle.​cabin.​infotainment.​navigation.​destinationSet.​arrivalTime,string,hh:mm,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​destinationSet.​arrivalTime"": ""GPS arrival time"",",,"""vehicle.​cabin.​infotainment.​navigation.​destinationSet.​arrivalTime"": ""GPS arrival time"","
99,Distance to navigation destination,This value indicates the distance to the active navigation destination in kilometres or miles at the time of data collection. The values range from 0 km to 100000 km or from 0mi to 62137mi.,GPS,distance to destination,,,vehicle.​cabin.​infotainment.​navigation.​destinationSet.​distance,uint16,0 km to 100000 km or 0 mi to 62137 mi,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​destinationSet.​distance"": ""GPS distance to destination"",",,"""vehicle.​cabin.​infotainment.​navigation.​destinationSet.​distance"": ""GPS distance to destination"","
100,Navigation destination – latitude,This value indicates the coordinate of the active navigation destination – latitude at the time of data collection in billionths of a second.,GPS,destination latitude,,,vehicle.​cabin.​infotainment.​navigation.​destinationSet.​latitude,-,-,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​destinationSet.​latitude"": ""GPS destination latitude"",",,"""vehicle.​cabin.​infotainment.​navigation.​destinationSet.​latitude"": ""GPS destination latitude"","
101,Navigation destination – longitude,This value indicates the coordinate of the active navigation destination – longitude at the time of data collection in billionths of a second.,GPS,destination longitude,,,vehicle.​cabin.​infotainment.​navigation.​destinationSet.​longitude,-,-,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​destinationSet.​longitude"": ""GPS destination longitude"",",,"""vehicle.​cabin.​infotainment.​navigation.​destinationSet.​longitude"": ""GPS destination longitude"","
102,Number of free POI spaces in navigation system,This value indicates how many POIs (points of interest) are still open in the navigation system.,GPS,available poi spaces,,,vehicle.​cabin.​infotainment.​navigation.​pointsOfInterests.​available,uint16,25,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​pointsOfInterests.​available"": ""GPS available poi spaces"",",,"""vehicle.​cabin.​infotainment.​navigation.​pointsOfInterests.​available"": ""GPS available poi spaces"","
103,Maximum number of POIs stored in the navigation system,This value indicates how many POIs (points of interest) can be stored in the navigation system.,GPS,max poi spaces,,,vehicle.​cabin.​infotainment.​navigation.​pointsOfInterests.​max,uint16,25,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​pointsOfInterests.​max"": ""GPS max poi spaces"",",,"""vehicle.​cabin.​infotainment.​navigation.​pointsOfInterests.​max"": ""GPS max poi spaces"","
104,Remaining range,This value indicates the remaining range of fuel in kilometres or miles at the time of data collection.,GPS,remaining range,,,vehicle.​cabin.​infotainment.​navigation.​remainingRange,uint16,0 km to 100000 km or 0 mi to 62137 mi,-,,,,"""vehicle.​cabin.​infotainment.​navigation.​remainingRange"": ""GPS remaining range"",",,"""vehicle.​cabin.​infotainment.​navigation.​remainingRange"": ""GPS remaining range"","
106,Front driver seat cooling,Front driver seat Cooling. 0 = off. +100 = max cold.,Seat,Cooling (front driver),,,vehicle.​cabin.​seat.​row1.​driverSide.​cooling,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row1.​driverSide.​cooling"": ""Seat Cooling (front driver)"",",,"""vehicle.​cabin.​seat.​row1.​driverSide.​cooling"": ""Seat Cooling (front driver)"","
113,Front driver seat heating,Front driver seat heating. 0 = off. +100 = max heat.,Seat,Heating (front driver),,,vehicle.​cabin.​seat.​row1.​driverSide.​heating,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row1.​driverSide.​heating"": ""Seat Heating (front driver)"",",,"""vehicle.​cabin.​seat.​row1.​driverSide.​heating"": ""Seat Heating (front driver)"","
107,Front passenger seat cooling,Front passenger seat Cooling. 0 = off. +100 = max cold.,Seat,Cooling (front passenger),,,vehicle.​cabin.​seat.​row1.​passengerSide.​cooling,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row1.​passengerSide.​cooling"": ""Seat Cooling (front passenger)"",",,"""vehicle.​cabin.​seat.​row1.​passengerSide.​cooling"": ""Seat Cooling (front passenger)"","
114,Front passenger seat heating,Front passenger seat heating. 0 = off. +100 = max heat.,Seat,Heating (front passenger),,,vehicle.​cabin.​seat.​row1.​passengerSide.​heating,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row1.​passengerSide.​heating"": ""Seat Heating (front passenger)"",",,"""vehicle.​cabin.​seat.​row1.​passengerSide.​heating"": ""Seat Heating (front passenger)"","
108,Rear driver seat cooling,Rear driver seat Cooling. 0 = off. +100 = max cold.,Seat,Cooling (rear driver),,,vehicle.​cabin.​seat.​row2.​driverSide.​cooling,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row2.​driverSide.​cooling"": ""Seat Cooling (rear driver)"",",,"""vehicle.​cabin.​seat.​row2.​driverSide.​cooling"": ""Seat Cooling (rear driver)"","
115,Rear driver seat heating,Rear driver seat heating. 0 = off. +100 = max heat.,Seat,Heating (rear driver),,,vehicle.​cabin.​seat.​row2.​driverSide.​heating,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row2.​driverSide.​heating"": ""Seat Heating (rear driver)"",",,"""vehicle.​cabin.​seat.​row2.​driverSide.​heating"": ""Seat Heating (rear driver)"","
109,Rear passenger seat cooling,Rear passenger seat Cooling. 0 = off. +100 = max cold.,Seat,Cooling (rear passenger),,,vehicle.​cabin.​seat.​row2.​passengerSide.​cooling,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row2.​passengerSide.​cooling"": ""Seat Cooling (rear passenger)"",",,"""vehicle.​cabin.​seat.​row2.​passengerSide.​cooling"": ""Seat Cooling (rear passenger)"","
116,Rear passenger seat heating,Rear passenger seat heating. 0 = off. +100 = max heat.,Seat,Heating (rear passenger),,,vehicle.​cabin.​seat.​row2.​passengerSide.​heating,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row2.​passengerSide.​heating"": ""Seat Heating (rear passenger)"",",,"""vehicle.​cabin.​seat.​row2.​passengerSide.​heating"": ""Seat Heating (rear passenger)"","
110,Third row driver seat cooling,Third row driver seat Cooling. 0 = off. +100 = max cold.,Seat,Cooling (third row driver),,,vehicle.​cabin.​seat.​row3.​driverSide.​cooling,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row3.​driverSide.​cooling"": ""Seat Cooling (third row driver)"",",,"""vehicle.​cabin.​seat.​row3.​driverSide.​cooling"": ""Seat Cooling (third row driver)"","
117,Third row driver seat heating,Third row driver seat heating. 0 = off. +100 = max heat.,Seat,Heating (third row driver),,,vehicle.​cabin.​seat.​row3.​driverSide.​heating,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row3.​driverSide.​heating"": ""Seat Heating (third row driver)"",",,"""vehicle.​cabin.​seat.​row3.​driverSide.​heating"": ""Seat Heating (third row driver)"","
111,Third row passenger seat cooling,Third row passenger seat Cooling. 0 = off. +100 = max cold.,Seat,Cooling (third row passenger),,,vehicle.​cabin.​seat.​row3.​passengerSide.​cooling,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row3.​passengerSide.​cooling"": ""Seat Cooling (third row passenger)"",",,"""vehicle.​cabin.​seat.​row3.​passengerSide.​cooling"": ""Seat Cooling (third row passenger)"","
118,Third row passenger seat heating,Third row passenger seat heating. 0 = off. +100 = max heat.,Seat,Heating (third row passenger),,,vehicle.​cabin.​seat.​row3.​passengerSide.​heating,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​seat.​row3.​passengerSide.​heating"": ""Seat Heating (third row passenger)"",",,"""vehicle.​cabin.​seat.​row3.​passengerSide.​heating"": ""Seat Heating (third row passenger)"","
120,Steering wheel heating,Actual value of the steering wheel heating in percent.,Steering Wheel,heating,,,vehicle.​cabin.​steeringWheel.​heating,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​steeringWheel.​heating"": ""Steering Wheel heating"",",,"""vehicle.​cabin.​steeringWheel.​heating"": ""Steering Wheel heating"","
122,Sunroof overall status,Overall status of the vehicle's sunroof.,Sunroof,overall state,,,vehicle.​cabin.​sunroof.​overallStatus,string,"INVALID, OPEN, OPEN_TILT, INTERMEDIATE_TILT, CLOSED",-,,,,"""vehicle.​cabin.​sunroof.​overallStatus"": ""Sunroof overall state"",",,"""vehicle.​cabin.​sunroof.​overallStatus"": ""Sunroof overall state"","
123,Sunroof relative position,Openingt state of the sunroof in percent. -100 means full tilt position. 0% represents fully closed and 100% represents fully opened.,Sunroof,relative position,,,vehicle.​cabin.​sunroof.​relativePosition,int8,-100% to 100%,percent,,,,"""vehicle.​cabin.​sunroof.​relativePosition"": ""Sunroof relative position"",",,"""vehicle.​cabin.​sunroof.​relativePosition"": ""Sunroof relative position"","
124,Sunshade position,Item position. 0 = Start position 100 = End position.,Sunroof,Sunshade position,,,vehicle.​cabin.​sunroof.​shade.​position,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​sunroof.​shade.​position"": ""Sunroof Sunshade position"",",,"""vehicle.​cabin.​sunroof.​shade.​position"": ""Sunroof Sunshade position"","
125,Status of sunroof,"This value indicates whether the sunroof (if the vehicle has one) was open (OPEN), half-open (INTERMEDIATE) or closed (CLOSED) at the time of data collection.",Sunroof,state,,,vehicle.​cabin.​sunroof.​status,string,"CLOSED, INTERMEDIATE, OPEN, INVALID",-,,,,"""vehicle.​cabin.​sunroof.​status"": ""Sunroof state"",",,"""vehicle.​cabin.​sunroof.​status"": ""Sunroof state"","
126,Tilting status of sunroof,"This value indicates whether the sunroof (if the vehicle has one) was tilted (OPEN), half-tilted (INTERMEDIATE) or closed (CLOSED) at the time of data collection.",Sunroof,tilt state,,,vehicle.​cabin.​sunroof.​tiltStatus,string,"CLOSED, INTERMEDIATE, OPEN, INVALID",-,,,,"""vehicle.​cabin.​sunroof.​tiltStatus"": ""Sunroof tilt state"",",,"""vehicle.​cabin.​sunroof.​tiltStatus"": ""Sunroof tilt state"","
128,Status of front left window,"This value indicates whether the front left window was open (OPEN), half-open (INTERMEDIATE) or closed (CLOSED) at the time of data collection.",Window,state (front driver),,,vehicle.​cabin.​window.​row1.​driver.​status,string,"CLOSED, INTERMEDIATE, OPEN, INVALID",-,,,,"""vehicle.​cabin.​window.​row1.​driver.​status"": ""Window state (front driver)"",",,"""vehicle.​cabin.​window.​row1.​driver.​status"": ""Window state (front driver)"","
129,Status of front right window,"This value indicates whether the front right window was open (OPEN), half-open (INTERMEDIATE) or closed (CLOSED) at the time of data collection.",Window,state (front passenger),,,vehicle.​cabin.​window.​row1.​passenger.​status,string,"CLOSED, INTERMEDIATE, OPEN, INVALID",-,,,,"""vehicle.​cabin.​window.​row1.​passenger.​status"": ""Window state (front passenger)"",",,"""vehicle.​cabin.​window.​row1.​passenger.​status"": ""Window state (front passenger)"","
130,Status of rear left window,"This value indicates whether the rear left window was open (OPEN), half-open (INTERMEDIATE) or closed (CLOSED) at the time of data collection.",Window,state (rear driver),,,vehicle.​cabin.​window.​row2.​driver.​status,string,"CLOSED, INTERMEDIATE, OPEN, INVALID",-,,,,"""vehicle.​cabin.​window.​row2.​driver.​status"": ""Window state (rear driver)"",",,"""vehicle.​cabin.​window.​row2.​driver.​status"": ""Window state (rear driver)"","
131,Status of rear right window,"This value indicates whether the rear right window was open (OPEN), half-open (INTERMEDIATE) or closed (CLOSED) at the time of data collection.",Window,state (rear passenger),,,vehicle.​cabin.​window.​row2.​passenger.​status,string,"CLOSED, INTERMEDIATE, OPEN, INVALID",-,,,,"""vehicle.​cabin.​window.​row2.​passenger.​status"": ""Window state (rear passenger)"",",,"""vehicle.​cabin.​window.​row2.​passenger.​status"": ""Window state (rear passenger)"","
